trainingTopic;entity;date;startTime;endTime;trainingType;audience;contentType;deliveryMethod;location;facilitator;notes
Nursery Plant Development;CoE;2026-10-11;08:00;10:00;Nursery;External;Hybrid;Onsite;https://maps.app.goo.gl/G8kNfzaZWFi1hq9C7;Abdulrahman/ Pierre;
Softscape Maintenance - Plant Safety & Replacement;Safari;2026-10-11;08:00;10:00;Projects;External;Hybrid;Onsite;Package 3 ( https://maps.app.goo.gl/fbjUv5NabjAbjYxm6 ) ;Neale Du Plooy;
Nursery Growing Systems;Rabiah Garden;2026-10-14;08:00;10:00;Nursery;External;Hybrid;Onsite;https://maps.app.goo.gl/W5uUncch9Z4mRFdX7;Bernd Begert;
Softscape Maintenance - Plant Safety & Replacement;Nabatat;2026-10-18;08:00;10:00;Projects;External;Hybrid;Onsite;Package 4 ( https://maps.app.goo.gl/DY2uvnJGcAw1ARA3A?g_st=com.google.maps.preview.copy );Neale Du Plooy;
Nursery Plant Development;Badan;2026-10-19;08:00;10:00;Nursery;External;Hybrid;Onsite;https://goo.gl/maps/z2uYrqJTVPSBSigF7;Rami Bajjani;
Softscape Maintenance - Plant Safety & Replacement;Bawan;2026-10-20;08:00;10:00;Projects;External;Hybrid;Onsite;Package 5 ( https://maps.app.goo.gl/tj9MYazQaGCGws6t5 );Neale Du Plooy;
Nursery Foundation ;AlBouri;2026-10-21;08:00;10:00;Nursery;External;Hybrid;Onsite;https://goo.gl/maps/mmDr4Uqab8bWdLkG7;Rami Bajjani;
Softscape Maintenance - Plant Care;Jash;2026-11-01;08:00;10:00;Projects;External;Hybrid;Onsite;Package 6 ( https://maps.app.goo.gl/SjM4LZrX63WxY76m6 );Neale Du Plooy;
Nursery Plant Handling ;DQ Nursery;2026-11-02;08:00;10:00;Nursery;External;Hybrid;Onsite;https://maps.app.goo.gl/MpnFjtaac1NSuCvW6;Ramiz/ Bernd;
Softscape Maintenance - Plant Pruning;Jash;2026-11-03;08:00;10:00;Projects;External;Hybrid;Onsite;Package 6 ( https://maps.app.goo.gl/SjM4LZrX63WxY76m6 );Neale Du Plooy;
Nursery Plant Handling ;CoE;2026-11-09;08:00;10:00;Nursery;External;Hybrid;Onsite;https://maps.app.goo.gl/G8kNfzaZWFi1hq9C7;Abdulrahman/ Pierre;
Nursery Growing Systems;Bayt AlWard;2026-11-11;08:00;10:00;Nursery;External;Hybrid;Onsite;https://maps.app.goo.gl/CKQgjLDTUWc9pF8P9?g_st=ic;Rami Bajjani;
Softscape Maintenance - Plant Safety & Replacement;Jash;2026-11-15;08:00;10:00;Projects;External;Hybrid;Onsite;Package 6 ( https://maps.app.goo.gl/SjM4LZrX63WxY76m6 );Neale Du Plooy;
Nursery Plant Development;Rabiah Garden;2026-11-16;08:00;10:00;Nursery;External;Hybrid;Onsite;https://maps.app.goo.gl/W5uUncch9Z4mRFdX7;Bernd Begert;
Nursery Plant Development;AlHadif;2026-11-23;08:00;10:00;Nursery;External;Hybrid;Onsite;https://goo.gl/maps/AxpVoxx72j6oCxk5A;Rami Bajjani;
Nursery Growing Systems;AlBouri;2026-12-01;08:00;10:00;Nursery;External;Hybrid;Onsite;https://goo.gl/maps/mmDr4Uqab8bWdLkG7;Rami Bajjani;
Nursery Plant Development;AlBouri;2026-12-02;08:00;10:00;Nursery;External;Hybrid;Onsite;https://goo.gl/maps/mmDr4Uqab8bWdLkG7;Rami Bajjani;
Nursery Plant Development;Bayt AlWard;2026-12-07;08:00;10:00;Nursery;External;Hybrid;Onsite;https://maps.app.goo.gl/CKQgjLDTUWc9pF8P9?g_st=ic;Rami Bajjani;
Nursery Plant Handling ;Rabiah Garden;2026-12-09;08:00;10:00;Nursery;External;Hybrid;Onsite;https://maps.app.goo.gl/W5uUncch9Z4mRFdX7;Rami Bajjani;
Nursery Plant Handling ;Badan;2026-12-14;08:00;10:00;Nursery;External;Hybrid;Onsite;https://goo.gl/maps/z2uYrqJTVPSBSigF7;Rami Bajjani;
Nursery Plant Handling ;AlHadif;2026-12-15;08:00;10:00;Nursery;External;Hybrid;Onsite;https://goo.gl/maps/AxpVoxx72j6oCxk5A;Rami Bajjani;
